team,group,elo_rating,proba_1st,proba_2nd,proba_3rd,proba_elim,pts_0,pts_1,pts_2,pts_3,pts_4,pts_5,pts_6,pts_7,pts_8,pts_9
Austria,J,1811.5,0.1242,0.4316,0.3053,0.1389,0.0331,0.0838,0.064,0.1915,0.2476,0.0529,0.2088,0.0881,0.0,0.0302
Jordan,J,1708.1,0.0175,0.1144,0.2749,0.5932,0.254,0.271,0.0847,0.21,0.1166,0.011,0.0413,0.0087,0.0,0.0027
Colombia,K,1958.8,0.5261,0.294,0.1307,0.0492,0.0048,0.0197,0.0286,0.0704,0.1505,0.0933,0.1871,0.2456,0.0,0.2
DR Congo,K,1803.7,0.0799,0.1811,0.3706,0.3684,0.1121,0.1848,0.0932,0.2395,0.1931,0.0399,0.0901,0.0375,0.0,0.0098
Portugal,K,1896.1,0.3407,0.3821,0.193,0.0842,0.0098,0.0415,0.047,0.109,0.2061,0.088,0.2232,0.1772,0.0,0.0982
Uzbekistan,K,1789.7,0.0533,0.1428,0.3057,0.4982,0.1806,0.2355,0.1002,0.2035,0.1608,0.0304,0.0577,0.0248,0.0,0.0065
Croatia,L,1815.9,0.1953,0.4709,0.237,0.0968,0.016,0.0546,0.0524,0.1462,0.2322,0.0716,0.2448,0.1251,0.0,0.0571
England,L,2001.1,0.7333,0.2007,0.0524,0.0136,0.0006,0.0052,0.008,0.0281,0.0751,0.0671,0.1679,0.2778,0.0,0.3702
Ghana,L,1680.5,0.0232,0.1326,0.3297,0.5145,0.201,0.246,0.0807,0.2512,0.1392,0.0161,0.0524,0.0114,0.0,0.002
Panama,L,1732.0,0.0482,0.1958,0.3809,0.3751,0.1349,0.2026,0.0935,0.2375,0.175,0.0333,0.0886,0.0272,0.0,0.0074
